ID,age,value
1.1.1,<5,84354
1.1.1,5-14,19209
1.1.1,15-49,146377
1.1.1,50-69,156385
1.1.1,70+,105631
1.1.2.1,<5,36854
1.1.2.1,5-14,454
1.1.2.1,15-49,370
1.1.2.1,50-69,252
1.1.2.1,70+,157
1.1.2.2,<5,0
1.1.2.2,5-14,8
1.1.2.2,15-49,183
1.1.2.2,50-69,34
1.1.2.2,70+,22
1.1.2.3,<5,0
1.1.2.3,5-14,3
1.1.2.3,15-49,84
1.1.2.3,50-69,19
1.1.2.3,70+,21
1.1.2.4,<5,0
1.1.2.4,5-14,12
1.1.2.4,15-49,441
1.1.2.4,50-69,137
1.1.2.4,70+,87
1.1.3,<5,56626
1.1.3,5-14,20416
1.1.3,15-49,244977
1.1.3,50-69,77385
1.1.3,70+,6385
1.1.4,<5,281428
1.1.4,5-14,33864
1.1.4,15-49,50795
1.1.4,50-69,57951
1.1.4,70+,63669
1.1.5.1,<5,28861
1.1.5.1,5-14,9112
1.1.5.1,15-49,487
1.1.5.1,50-69,102
1.1.5.1,70+,0
1.1.5.2,<5,2005
1.1.5.2,5-14,757
1.1.5.2,15-49,138
1.1.5.2,50-69,48
1.1.5.2,70+,0
1.1.5.3,<5,34419
1.1.5.3,5-14,3776
1.1.5.3,15-49,1274
1.1.5.3,50-69,0
1.1.5.3,70+,0
1.1.5.4,<5,5143
1.1.5.4,5-14,1098
1.1.5.4,15-49,1599
1.1.5.4,50-69,1151
1.1.5.4,70+,541
1.1.6,<5,56567
1.1.6,5-14,27637
1.1.6,15-49,28712
1.1.6,50-69,15292
1.1.6,70+,11117
1.1.7,<5,5344
1.1.7,5-14,2437
1.1.7,15-49,2561
1.1.7,50-69,1414
1.1.7,70+,521
1.1.8.1,<5,483
1.1.8.1,5-14,663
1.1.8.1,15-49,1010
1.1.8.1,50-69,922
1.1.8.1,70+,342
1.1.8.2,<5,1155
1.1.8.2,5-14,1013
1.1.8.2,15-49,3634
1.1.8.2,50-69,2282
1.1.8.2,70+,979
1.1.8.3,<5,58
1.1.8.3,5-14,148
1.1.8.3,15-49,403
1.1.8.3,50-69,298
1.1.8.3,70+,151
1.1.8.4,<5,92
1.1.8.4,5-14,68
1.1.8.4,15-49,214
